Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Train, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Train, motorbike/scooter, bicycle",5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
"Train, motorbike/scooter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, bicycle, other",8,4,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42
"Bus, ferry, tram",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
"Bus, ferry, taxi",4,0,0,0,15,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,70
"Bus, ferry, car as driver",0,0,0,0,70,48,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,103,246
"Bus, ferry, car as passenger",0,0,0,0,43,11,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,53,131
"Bus, ferry, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, ferry, motorbike/scooter",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19
"Bus, ferry, bicycle",0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32
"Bus, ferry, other",0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17
"Bus, tram, taxi",40,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74
"Bus, tram, car as driver",136,5,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,193
"Bus, tram, car as passenger",136,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,188
"Bus, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, tram, motorbike/scooter",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, tram, bicycle",23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Bus, tram, other",15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
"Bus, taxi, car as driver",14,15,0,0,46,22,0,0,25,0,0,0,12,5,0,0,4,4,0,0,4,0,0,0,6,0,0,0,0,0,8,0,0,97,262
"Bus, taxi, car as passenger",48,29,0,0,73,85,0,0,41,0,0,0,36,13,0,0,17,12,0,0,6,0,0,0,9,0,0,0,0,0,52,0,0,115,536
"Bus, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
"Bus, taxi, bicycle",0,4,0,0,9,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
"Bus, taxi, other",17,0,0,0,14,23,0,0,19,3,0,0,49,34,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,30,198
"Bus, car as driver, car as passenger",120,34,0,0,216,129,0,0,129,7,0,0,119,27,0,0,36,14,0,0,18,11,0,0,89,0,0,0,0,0,60,0,0,253,1262
"Bus, car as driver, truck",0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
